,x,y,SPEED_MAX_GUST,MEAN_TEMPERATURE,STATION_NAME,LOCAL_DATE,MAX_TEMPERATURE,MIN_TEMPERATURE,LOCAL_YEAR,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY,ID
151,-71.8236111111111,45.36888888888889,62.0,6.1,LENNOXVILLE,2021-11-12,9.4,2.8,2021,9.6,97.0,56.0,7024280.2021.11.12
152,-71.8236111111111,45.36888888888889,41.0,5.3,LENNOXVILLE,2021-11-13,11.1,-0.6,2021,11.6,98.0,56.0,7024280.2021.11.13
153,-71.8236111111111,45.36888888888889,49.0,2.4,LENNOXVILLE,2021-11-14,6.0,-1.2,2021,0.4,95.0,47.0,7024280.2021.11.14
154,-71.8236111111111,45.36888888888889,42.0,2.0,LENNOXVILLE,2021-11-15,3.9,0.2,2021,4.5,98.0,78.0,7024280.2021.11.15
155,-71.8236111111111,45.36888888888889,40.0,-1.3,LENNOXVILLE,2021-11-16,1.0,-3.6,2021,0.5,91.0,70.0,7024280.2021.11.16
156,-71.8236111111111,45.36888888888889,0.0,-1.1,LENNOXVILLE,2021-11-17,4.0,-6.2,2021,4.4,96.0,65.0,7024280.2021.11.17
157,-71.8236111111111,45.36888888888889,51.0,8.3,LENNOXVILLE,2021-11-18,13.8,2.8,2021,10.5,98.0,74.0,7024280.2021.11.18
158,-71.8236111111111,45.36888888888889,47.0,1.2,LENNOXVILLE,2021-11-19,4.5,-2.1,2021,0.6,81.0,63.0,7024280.2021.11.19
159,-71.8236111111111,45.36888888888889,0.0,-1.1,LENNOXVILLE,2021-11-20,2.8,-4.9,2021,0.0,91.0,52.0,7024280.2021.11.20
160,-71.8236111111111,45.36888888888889,0.0,2.0,LENNOXVILLE,2021-11-21,6.2,-2.1,2021,1.7,94.0,58.0,7024280.2021.11.21
161,-71.8236111111111,45.36888888888889,52.0,3.2,LENNOXVILLE,2021-11-22,8.2,-1.8,2021,0.0,98.0,57.0,7024280.2021.11.22
162,-71.8236111111111,45.36888888888889,38.0,-3.7,LENNOXVILLE,2021-11-23,-1.8,-5.5,2021,0.0,74.0,58.0,7024280.2021.11.23
163,-71.8236111111111,45.36888888888889,31.0,-3.2,LENNOXVILLE,2021-11-24,0.7,-7.0,2021,0.0,87.0,50.0,7024280.2021.11.24
164,-71.8236111111111,45.36888888888889,0.0,-3.1,LENNOXVILLE,2021-11-25,1.6,-7.9,2021,1.4,96.0,70.0,7024280.2021.11.25
165,-71.8236111111111,45.36888888888889,43.0,-0.4,LENNOXVILLE,2021-11-26,0.7,-1.6,2021,6.4,99.0,89.0,7024280.2021.11.26
166,-71.8236111111111,45.36888888888889,54.0,-4.5,LENNOXVILLE,2021-11-27,-1.5,-7.4,2021,0.8,89.0,73.0,7024280.2021.11.27
167,-71.8236111111111,45.36888888888889,0.0,-7.3,LENNOXVILLE,2021-11-28,-2.7,-11.9,2021,0.0,90.0,57.0,7024280.2021.11.28
168,-71.8236111111111,45.36888888888889,0.0,-7.7,LENNOXVILLE,2021-11-29,-4.5,-11.0,2021,0.0,93.0,57.0,7024280.2021.11.29
169,-71.8236111111111,45.36888888888889,0.0,-7.1,LENNOXVILLE,2021-11-30,-2.9,-11.3,2021,0.3,92.0,70.0,7024280.2021.11.30
170,-71.8236111111111,45.36888888888889,48.0,-5.2,LENNOXVILLE,2021-12-01,1.0,-11.4,2021,0.5,95.0,48.0,7024280.2021.12.1
171,-71.8236111111111,45.36888888888889,46.0,-2.9,LENNOXVILLE,2021-12-02,5.0,-10.8,2021,4.9,96.0,80.0,7024280.2021.12.2
172,-71.8236111111111,45.36888888888889,61.0,-3.2,LENNOXVILLE,2021-12-03,2.6,-9.1,2021,0.5,87.0,48.0,7024280.2021.12.3
